windmills_id;windmills_name;size_km2;long;lat;GSRN;ID_geo;Tilsluttet;Kapa_kW;Rotor_Dia;NavHoej;TotalHoej;Fabrikat;Model;KomNr;KomNvn;Placering;Ejerlav;Mtrkl_Nr;X;Y;KoorOpr;Net_InstNr;kWh_1977;kWh_1978;kWh_1979;kWh_1980;kWh_1981;kWh_1982;kWh_1983;kWh_1984;kWh_1985;kWh_1986;kWh_1987;kWh_1988;kWh_1989;kWh_1990;kWh_1991;kWh_1992;kWh_1993;kWh_1994;kWh_1995;kWh_1996;kWh_1997;kWh_1998;kWh_1999;kWh_2000;kWh_2001;kWh_2002;kWh_2003;kWh_2004;kWh_2005;kWh_2006;kWh_2007;kWh_2008;kWh_2009;kWh_2010;kWh_2011;kWh_2012;kWh_2013;kWh_2014;jan;feb;mar;apr;maj;jun;jul;aug;sep;okt;nov;dec;kWh_2015;coords.x1;coords.x2
11;wind11;0;12.6707539189761;55.6906278898814;570714700000013713;21;2000-12-27;2000;76;64;102;BONUS;2 MW;101;København;HAV;Uoplyst;hav;730704.8;6177756;GST;KE 558335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404;3407722.804688;5065906.5;4321756.5;4485683;4486091.3125;4048342.734375;4948820;4774218;4594900.40625;4444303;4531911;4470327.5;3911330.7;4538094.7;553566.4;354321;434014;365165;380623.5;279730.5;322442;276670;336732.5;349436;485275;608140.5;4746116.4;12.6707539189761;55.6906278898814
12;wind12;0;12.6707197830027;55.6889743590342;570714700000013720;22;2000-12-27;2000;76;64;102;BONUS;2 MW;101;København;HAV;Uoplyst;hav;730712.4;6177572;GST;ke 558335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404;3407722.804688;5065906.5;4321756.5;4485683;4486091.3125;4048342.734375;4948820;4774218;4594900.40625;4444303;4531911;4470327.5;3911330.7;4538094.7;553566.4;354321;434014;365165;380623.5;279730.5;322442;276670;336732.5;349436;485275;608140.5;4746116.4;12.6707197830027;55.6889743590342
13;wind13;0;12.6705817316976;55.6873329306932;570714700000013737;23;2000-12-27;2000;76;64;102;BONUS;2 MW;101;København;HAV;Uoplyst;hav;730713.4;6177389;GST;ke 558335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404;3407722.804688;5065906.5;4321756.5;4485683;4486091.3125;4048342.734375;4948820;4774218;4594900.40625;4444303;4531911;4470327.5;3911330.7;4538094.7;553566.4;354321;434014;365165;380623.5;279730.5;322442;276670;336732.5;349436;485275;608140.5;4746116.4;12.6705817316976;55.6873329306932
14;wind14;0;12.6704278225425;55.6856919767939;570714700000013744;24;2000-12-27;2000;76;64;102;BONUS;2 MW;101;København;HAV;Uoplyst;hav;730713.4;6177206;GST;ke 558335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404;3407722.804688;5065906.5;4321756.5;4485683;4486091.3125;4048342.734375;4948820;4774218;4594900.40625;4444303;4531911;4470327.5;3911330.7;4538094.7;553566.4;354321;434014;365165;380623.5;279730.5;322442;276670;336732.5;349436;485275;608140.5;4746116.4;12.6704278225425;55.6856919767939
15;wind15;0;12.6701985857022;55.6840622694975;570714700000013751;25;2000-12-27;2000;76;64;102;BONUS;2 MW;101;København;HAV;Uoplyst;hav;730708.6;6177024;GST;ke 558335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404;3407722.804688;5065906.5;4321756.5;4485683;4486091.3125;4048342.734375;4948820;4774218;4594900.40625;4444303;4531911;4470327.5;3911330.7;4538094.7;553566.4;354321;434014;365165;380623.5;279730.5;322442;276670;336732.5;349436;485275;608140.5;4746116.4;12.6701985857022;55.6840622694975
16;wind16;0;12.6699534053309;55.6824150547423;570714700000013768;26;2000-12-27;2000;76;64;102;BONUS;2 MW;101;København;HAV;Uoplyst;hav;730702.9;6176840;GST;ke 558335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404;3407722.804688;5065906.5;4321756.5;4485683;4486091.3125;4048342.734375;4948820;4774218;4594900.40625;4444303;4531911;4470327.5;3911330.7;4538094.7;553566.4;354321;434014;365165;380623.5;279730.5;322442;276670;336732.5;349436;485275;608140.5;4746116.4;12.6699534053309;55.6824150547423
17;wind17;0;12.6696337517676;55.6807880527326;570714700000013775;27;2000-12-27;2000;76;64;102;BONUS;2 MW;101;København;HAV;Uoplyst;hav;730692.4;6176658;GST;ke 558335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404;3407722.804688;5065906.5;4321756.5;4485683;4486091.3125;4048342.734375;4948820;4774218;4594900.40625;4444303;4531911;4470327.5;3911330.7;4538094.7;553566.4;354321;434014;365165;380623.5;279730.5;322442;276670;336732.5;349436;485275;608140.5;4746116.4;12.6696337517676;55.6807880527326
18;wind18;0;12.6692538224432;55.6791628538873;570714700000013782;28;2000-12-27;2000;76;64;102;BONUS;2 MW;101;København;HAV;Uoplyst;hav;730678.1;6176476;GST;ke 558335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404;3407722.804688;5065906.5;4321756.5;4485683;4486091.3125;4048342.734375;4948820;4774218;4594900.40625;4444303;4531911;4470327.5;3911330.7;4538094.7;553566.4;354321;434014;365165;380623.5;279730.5;322442;276670;336732.5;349436;485275;608140.5;4746116.4;12.6692538224432;55.6791628538873
19;wind19;0;12.6688580584021;55.6775381279426;570714700000013799;29;2000-12-27;2000;76;64;102;BONUS;2 MW;101;København;HAV;Uoplyst;hav;730662.8;6176294;GST;ke 558335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404;3407722.804688;5065906.5;4321756.5;4485683;4486091.3125;4048342.734375;4948820;4774218;4594900.40625;4444303;4531911;4470327.5;3911330.7;4538094.7;553566.4;354321;434014;365165;380623.5;279730.5;322442;276670;336732.5;349436;485275;608140.5;4746116.4;12.6688580584021;55.6775381279426
20;wind20;0;12.6683743066944;55.6759250257656;570714700000013805;30;2000-12-27;2000;76;64;102;BONUS;2 MW;101;København;HAV;Uoplyst;hav;730641.9;6176113;GST;ke 558335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404;3407722.804688;5065906.5;4321756.5;4485683;4486091.3125;4048342.734375;4948820;4774218;4594900.40625;4444303;4531911;4470327.5;3911330.7;4538094.7;553566.4;354321;434014;365165;380623.5;279730.5;322442;276670;336732.5;349436;485275;608140.5;4746116.4;12.6683743066944;55.6759250257656
21;wind21;0;12.4610900211459;55.6022600457694;570715000000088643;38;2009-11-23;3600;120;90;150;SIEMENS;SWT 3.6;167;Hvidovre;HAV;Havmølle;hav;718024.3;6167250;GST;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1004847.9375;10464236.25;13353021;12472413;11441933;12545921;1578469;1061428;1151132;1019015;1165529;771140;962598;791919;1001755;891056;1205101;1761583;13360725;12.4610900211459;55.6022600457694
22;wind22;0;12.4683267462295;55.6017496555793;570715000000088667;39;2009-11-23;3600;120;90;150;SIEMENS;SWT 3.6;167;Hvidovre;HAV;Havmølle;hav;718482.8;6167216;GST;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;850355.4375;10356474.9445;11804932;12532808;11695730;12612380;1301177;1101625;993912;892831;1188966;806101;998422;934754;1017273;620150;1388800;1407783;12651794;12.4683267462295;55.6017496555793
23;wind23;0;12.4540796592199;55.6027096740858;570715000000128905;40;2011-09-26;3600;120;90;150;SIEMENS;SWT 3.6-120;167;Hvidovre;HAV;havmølle;hav;717580.4;6167278;GST;5,7131317412e+017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3773991;13045716;11971868;11756082;1634620;1136323;1191752;1078109;1186063;885658;1096350;923169;1181212;1003569;1452776;1929912;14699513;12.4540796592199;55.6027096740858
24;wind24;0;10.9811419318215;55.3463234678111;570715000000088650;453;2009-10-28;3000;90;80;125;Vestas;V 90 3;330;Slagelse;HAV;Ukendt;0;625628;6135118;GST;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1515090.905518;9106612.582143;9490302.657143;9579967.5;8889550.396914;9587771.4426;1152223.386;885032.1429;839461.6143;707216.1714;781070.0571;562091.6;570013.8857;556441.4571;627571.5147;572975.8143;959604.6;1067845;9281547.2435;10.9811419318215;55.3463234678111
25;wind25;0;10.974240579954;55.3454465219742;570715000000088674;454;2009-10-28;3000;90;80;125;Vestas;V 90 3;330;Slagelse;HAV;Ukendt;0;625193.2;6135008;GST;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1515090.905518;9106612.582143;9490302.657143;9579967.5;8889550.396914;9587771.4426;1152223.386;885032.1429;839461.6143;707216.1714;781070.0571;562091.6;570013.8857;556441.4571;627571.5147;572975.8143;959604.6;1067845;9281547.2435;10.974240579954;55.3454465219742
26;wind26;0;10.967320613838;55.3445694883537;570715000000088681;455;2009-10-28;3000;90;80;125;Vestas;V 90 3;330;Slagelse;HAV;Ukendt;0;624757.2;6134898;GST;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1515090.905518;9106612.582143;9490302.657143;9579967.5;8889550.396914;9587771.4426;1152223.386;885032.1429;839461.6143;707216.1714;781070.0571;562091.6;570013.8857;556441.4571;627571.5147;572975.8143;959604.6;1067845;9281547.2435;10.967320613838;55.3445694883537
27;wind27;0;10.9603993690069;55.3436920856229;570715000000088698;456;2009-10-28;3000;90;80;125;Vestas;V 90 3;330;Slagelse;HAV;Ukendt;0;624321.1;6134788;GST;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1515090.905518;9106612.582143;9490302.657143;9579967.5;8889550.396914;9587771.4426;1152223.386;885032.1429;839461.6143;707216.1714;781070.0571;562091.6;570013.8857;556441.4571;627571.5147;572975.8143;959604.6;1067845;9281547.2435;10.9603993690069;55.3436920856229
28;wind28;0;10.9534815731613;55.3428142379615;570715000000088704;457;2009-10-28;3000;90;80;125;Vestas;V 90 3;330;Slagelse;HAV;Ukendt;0;623885.2;6134678;GST;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1515090.905518;9106612.582143;9490302.657143;9579967.5;8889550.396914;9587771.4426;1152223.386;885032.1429;839461.6143;707216.1714;781070.0571;562091.6;570013.8857;556441.4571;627571.5147;572975.8143;959604.6;1067845;9281547.2435;10.9534815731613;55.3428142379615
29;wind29;0;10.9465467409402;55.3419362723318;570715000000088711;458;2009-10-28;3000;90;80;125;Vestas;V 90 3;330;Slagelse;HAV;Ukendt;0;623448.2;6134568;GST;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1515090.905518;9106612.582143;9490302.657143;9579967.5;8889550.396914;9587771.4426;1152223.386;885032.1429;839461.6143;707216.1714;781070.0571;562091.6;570013.8857;556441.4571;627571.5147;572975.8143;959604.6;1067845;9281547.2435;10.9465467409402;55.3419362723318
30;wind30;0;10.9396227982757;55.3410487547434;570715000000088728;459;2009-10-28;3000;90;80;125;Vestas;V 90 3;330;Slagelse;HAV;Ukendt;0;623011.9;6134457;GST;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1515090.905518;9106612.582143;9490302.657143;9579967.5;8889550.396914;9587771.4426;1152223.386;885032.1429;839461.6143;707216.1714;781070.0571;562091.6;570013.8857;556441.4571;627571.5147;572975.8143;959604.6;1067845;9281547.2435;10.9396227982757;55.3410487547434
31;wind31;0;11.122167511251;54.9732677343635;570714700000001659;518;1991-09-01;450;35;37.5;55;BONUS;450 offshore;360;Lolland;HAV;Uoplyst;hav;635831.6;6093877;GST;EVV005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362364;973000;1071182;996000;1003909;801545;1014636;852727;760909;1082091;886244.175781;935851.128906;891157.175781;1055377.136719;937145.710938;749928.158203;1035657.492188;1005902.589844;889154.886719;871055.356193;790491.059;799659.380091;747954.356235;856992.78285;96851.00127;73405.03764;84186.72164;54704.384;57025.42509;42935.92;35054.49864;28014.53973;34422.31645;26341.65736;33649.6;43607.14;610198.24182;11.122167511251;54.9732677343635
32;wind32;0;11.1251388995896;54.9711844154265;570714700000001666;519;1991-09-01;450;35;37.5;55;BONUS;450 offshore;360;Lolland;HAV;Uoplyst;hav;636028.8;6093651;GST;EVV005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362364;973000;1071182;996000;1003909;801545;1014636;852727;760909;1082091;886244.175781;935851.128906;891157.175781;1055377.136719;937145.710938;749928.158203;1035657.492188;1005902.589844;889154.886719;871055.356193;790491.059;799659.380091;747954.356235;856992.78285;96851.00127;73405.03764;84186.72164;54704.384;57025.42509;42935.92;35054.49864;28014.53973;34422.31645;26341.65736;33649.6;43607.14;610198.24182;11.1251388995896;54.9711844154265
33;wind33;0;11.1281171750457;54.9691188770796;570714700000001673;520;1991-09-01;450;35;37.5;55;BONUS;450 offshore;360;Lolland;HAV;Uoplyst;hav;636226.4;6093427;GST;EVV005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362364;973000;1071182;996000;1003909;801545;1014636;852727;760909;1082091;886244.175781;935851.128906;891157.175781;1055377.136719;937145.710938;749928.158203;1035657.492188;1005902.589844;889154.886719;871055.356193;790491.059;799659.380091;747954.356235;856992.78285;96851.00127;73405.03764;84186.72164;54704.384;57025.42509;42935.92;35054.49864;28014.53973;34422.31645;26341.65736;33649.6;43607.14;610198.24182;11.1281171750457;54.9691188770796
34;wind34;0;11.1310926334683;54.9670353346149;570714700000001680;521;1991-09-01;450;35;37.5;55;BONUS;450 offshore;360;Lolland;HAV;Uoplyst;hav;636423.9;6093201;GST;EVV005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362364;973000;1071182;996000;1003909;801545;1014636;852727;760909;1082091;886244.175781;935851.128906;891157.175781;1055377.136719;937145.710938;749928.158203;1035657.492188;1005902.589844;889154.886719;871055.356193;790491.059;799659.380091;747954.356235;856992.78285;96851.00127;73405.03764;84186.72164;54704.384;57025.42509;42935.92;35054.49864;28014.53973;34422.31645;26341.65736;33649.6;43607.14;610198.24182;11.1310926334683;54.9670353346149
