idx name
0 GNS_DEF_110_156_0_0
1 GNS_DEF_o157_0_0
2 OTB_DEF_o105_1_120
3 OTB_DEF_o120_0_0
4 OTB_DEF_u16_0_0
5 OTB_MCD_70_99_0_0
6 OTB_MCD_90_119_0_0
7 OTB_MCD_o120_0_0
8 other
9 OTM_SPF_16_104_0_0
10 OTM_SPF_16_31_0_0
11 OTT_CRU_70_89_2_35
12 OTT_DEF_o105_1_120
13 PTM_SPF_16_31_0_0
14 PTM_SPF_32_104_0_0
15 SDN_DEF_o120_0_0
