stock;Linf;K;a;b;L50;alpha;beta;r_age;tac_tons;fbar_age_min;fbar_age_max;F_target;F_percent;TAC_percent;B_trigger;FMSY;fbar_assessment;ssb_assessment;mls_cat;mls
COD.2224;100;0.18;0.007;3;30;3.11;1.32E-05;1;17000;3;6;0.26;0;0;38400;0.26;0.94;16602;7;35
COD.2532;89.3;0.187;0.006;3;28;0.2;2.00E-07;2;73400;4;6;0.46;0;0;0;0;0;0;7;35

