stock;0;1;2;3;4;5;6;7;8;9;10;11;12
COD.2532;0;0;254486;164884;92503;40135;19579;15054;11203;0;0;0;0
COD.2224;2650;11286;13718;11576;1515;593;82;98;0;0;0;0;0
